Ticker,Name,Asset Class,Weight (%)
ON,ON Semiconductor Corporation,Equity,0.068
OLED,Universal Display Corporation,Equity,0.0665
ALB,Albemarle Corporation,Equity,0.0619
HXL,Hexcel Corporation,Equity,0.059
TSLA,"Tesla, Inc.",Equity,0.0504
FSLR,"First Solar, Inc.",Equity,0.0461
BEP,Brookfield Renewable Partners LP,Equity,0.0459
CREE,"Cree, Inc.",Equity,0.0447
AYI,"Acuity Brands, Inc.",Equity,0.0441
LFUS,"Littelfuse, Inc.",Equity,0.0367
ORA,"Ormat Technologies, Inc.",Equity,0.0307
TERP,"TerraForm Power, Inc. (Class A)",Equity,0.0296
ENS,EnerSys,Equity,0.0267
AVX,AVX Corporation,Equity,0.0265
NEP,"NextEra Energy Partners, LP",Equity,0.0264
SEDG,"SolarEdge Technologies, Inc.",Equity,0.0258
NIO,NIO Inc. (ADR),Equity,0.0257
ITRI,"Itron, Inc.",Equity,0.0231
AY,Atlantica Yield Plc,Equity,0.0222
PEGI,Pattern Energy Group Inc.,Equity,0.022
POWI,"Power Integrations, Inc.",Equity,0.0199
AEIS,"Advanced Energy Industries, Inc.",Equity,0.0196
RUN,Sunrun Inc.,Equity,0.0182
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",Equity,0.0176
ENPH,"Enphase Energy, Inc.",Equity,0.0167
SQM,Sociedad Quimica y Minera de Chile S.A. (ADR),Equity,0.0119
CWEN,Clearway Energy Inc. (Class C),Equity,0.0117
SPWR,SunPower Corporation,Equity,0.0112
CSIQ,Canadian Solar Inc.,Equity,0.0105
LTHM,Livent Corporation,Equity,0.0101
BLDP,Ballard Power Systems Inc.,Equity,0.0096
VICR,Vicor Corporation,Equity,0.009
VSLR,"Vivint Solar, Inc.",Equity,0.0083
TPIC,"TPI Composites, Inc.",Equity,0.0077
BE,Bloom Energy Corporation (Class A),Equity,0.0067
REGI,"Renewable Energy Group, Inc.",Equity,0.0061
PLUG,Plug Power Inc.,Equity,0.006
VECO,Veeco Instruments Inc.,Equity,0.0057
JKS,JinkoSolar Holding Company Ltd. (ADR),Equity,0.0053
DQ,Daqo New Energy Corp. (ADR),Equity,0.0038
AMSC,American Superconductor Corporation,Equity,0.0023
